"","V1"
"line10998",1
"line10999",2
"line11",3
"line110",3
"line1100",2
"line11000",3
"line11001",1
"line11002",3
"line11003",1
"line11004",2
"line11005",3
"line11006",2
"line11007",2
"line11008",3
"line11009",1
"line1101",1
"line11010",1
"line11011",3
"line11012",2
"line11013",3
"line11014",3
"line11015",1
"line11016",2
"line11017",1
"line11018",1
"line11019",1
"line1102",3
"line11020",1
"line11021",3
"line11022",3
"line11023",2
"line11024",3
"line11025",1
"line11026",3
"line11027",1
"line11028",1
"line11029",2
"line1103",1
"line11030",1
"line11031",2
"line11032",1
"line11033",3
"line11034",2
"line11035",2
"line11036",3
"line11037",1
"line11038",2
"line11039",1
"line1104",3
"line11040",3
"line11041",3
"line11042",3
"line11043",1
"line11044",1
"line11045",3
"line11046",3
"line11047",3
"line11048",2
"line11049",3
"line1105",3
"line11050",3
"line11051",3
"line11052",1
"line11053",1
"line11054",1
"line11055",3
"line11056",3
"line11057",2
"line11058",1
"line11059",2
"line1106",3
"line11060",2
"line11061",3
"line11062",1
"line11063",2
"line11064",3
"line11065",2
"line11066",2
"line11067",2
"line11068",2
"line11069",1
"line1107",2
"line11070",2
"line11071",2
"line11072",1
"line11073",1
"line11074",2
"line11075",1
"line11076",1
"line11077",3
"line11078",3
"line11079",2
"line1108",2
"line11080",2
"line11081",1
"line11082",1
"line11083",1
"line11084",1
"line11085",3
"line11086",1
"line11087",3
"line11088",3
"line11089",2
"line1109",3
"line11090",1
"line11091",1
"line11092",1
"line11093",1
"line11094",1
"line11095",3
"line11096",2
"line11097",3
"line11098",3
"line11099",3
"line111",2
"line1110",1
"line11100",3
"line11101",2
"line11102",3
"line11103",2
"line11104",2
"line11105",1
"line11106",2
"line11107",3
"line11108",1
"line11109",2
"line1111",1
"line11110",1
"line11111",1
"line11112",1
"line11113",1
"line11114",3
"line11115",3
"line11116",2
"line11117",3
"line11118",3
"line11119",2
"line1112",2
"line11120",1
"line11121",1
"line11122",2
"line11123",3
"line11124",1
"line11125",2
"line11126",3
"line11127",2
"line11128",3
"line11129",2
"line1113",2
"line11130",3
"line11131",3
"line11132",1
"line11133",2
"line11134",2
"line11135",1
"line11136",1
"line11137",2
"line11138",3
"line11139",2
"line1114",1
"line11140",2
"line11141",3
"line11142",1
"line11143",2
"line11144",2
"line11145",1
"line11146",3
"line11147",2
"line11148",1
"line11149",1
"line1115",1
"line11150",2
"line11151",3
"line11152",1
"line11153",3
"line11154",2
"line11155",2
"line11156",1
"line11157",1
"line11158",1
"line11159",3
"line1116",1
"line11160",1
"line11161",3
"line11162",3
"line11163",2
"line11164",3
"line11165",2
"line11166",3
"line11167",1
"line11168",3
"line11169",1
"line1117",2
"line11170",1
"line11171",2
"line11172",2
"line11173",3
"line11174",3
"line11175",1
"line11176",3
"line11177",2
"line11178",1
"line11179",1
"line1118",1
"line11180",3
"line11181",3
"line11182",2
"line11183",3
"line11184",3
"line11185",3
"line11186",2
"line11187",2
"line11188",1
"line11189",2
"line1119",3
"line11190",2
"line11191",1
"line11192",2
